id,popularity,revenue,status,vote_average,vote_count,trend_day
653349,48.521,0,Released,6.3,6,2021-08-27
666243,247.572,0,Released,7.7,130,2021-08-27
347626,92.207,0,Released,6.8,16,2021-08-27
579047,1011.51,5000000,Released,7.4,305,2021-08-27
645788,68.297,2935000,Released,6.8,19,2021-08-27
752505,28.424,0,Released,8.1,48,2021-08-27
619297,812.706,0,Released,6.8,268,2021-08-27
436969,4013.503,140771711,Released,8.0,2990,2021-08-27
568620,362.52,31231196,Released,7.2,323,2021-08-27
592863,37.306,15682605,Released,7.0,16,2021-08-27
595743,26.633,0,Released,6.8,6,2021-08-27
385128,1610.64,696409435,Released,7.6,3121,2021-08-27
634649,329.472,0,Post Production,0.0,0,2021-08-27
559907,154.016,16305546,Released,7.1,195,2021-08-27
616651,280.372,15144751,Released,7.1,104,2021-08-27
550988,1700.206,117293659,Released,7.8,403,2021-08-27
716594,12.149,0,Released,6.7,7,2021-08-27
675445,3574.462,39180335,Released,7.8,177,2021-08-27
337404,846.647,222042571,Released,8.4,4900,2021-08-27
565028,208.386,0,Released,6.4,15,2021-08-27
653349,67.929,0,Released,7.5,15,2021-08-28
347626,129.09,0,Released,6.5,46,2021-08-28
645788,95.616,4198920,Released,6.7,30,2021-08-28
666243,253.416,0,Released,7.6,150,2021-08-28
595743,37.286,0,Released,6.1,16,2021-08-28
579047,817.11,5000000,Released,7.4,324,2021-08-28
592863,52.228,15682605,Released,7.3,18,2021-08-28
752505,39.794,0,Released,8.0,68,2021-08-28
436969,3571.581,140771711,Released,8.0,3032,2021-08-28
619297,1137.788,0,Released,6.8,276,2021-08-28
716594,17.009,0,Released,6.9,8,2021-08-28
568620,348.086,31231196,Released,7.2,333,2021-08-28
675445,3277.208,39180335,Released,7.9,202,2021-08-28
385128,1545.016,696409435,Released,7.6,3144,2021-08-28
634649,461.261,0,Post Production,0.0,0,2021-08-28
559907,153.028,16305546,Released,7.1,206,2021-08-28
550988,1651.486,117293659,Released,7.8,420,2021-08-28
337404,861.546,222042571,Released,8.4,4938,2021-08-28
616651,392.521,15144751,Released,7.2,122,2021-08-28
497698,1789.177,369811043,Released,7.8,4517,2021-08-28
653349,95.101,0,Released,7.5,47,2021-08-29
645788,133.862,4198920,Released,7.0,45,2021-08-29
347626,180.726,0,Released,7.1,105,2021-08-29
595743,52.2,0,Released,6.3,33,2021-08-29
666243,257.326,0,Released,7.7,177,2021-08-29
579047,767.693,5000000,Released,7.4,352,2021-08-29
752505,55.712,0,Released,8.0,85,2021-08-29
592863,73.119,15682605,Released,7.0,22,2021-08-29
436969,3865.874,140771711,Released,8.0,3123,2021-08-29
619297,1592.903,0,Released,6.8,302,2021-08-29
385128,1662.768,696409435,Released,7.6,3184,2021-08-29
716594,23.813,0,Released,7.3,10,2021-08-29
568620,386.957,31231196,Released,7.2,348,2021-08-29
675445,3399.97,46000000,Released,8.0,230,2021-08-29
559907,165.61,16305546,Released,7.1,222,2021-08-29
616651,549.529,15144751,Released,7.2,133,2021-08-29
566525,384.882,0,Released,8.5,2,2021-08-29
565028,301.31,15930000,Released,6.0,37,2021-08-29
550988,1737.917,117293659,Released,7.8,437,2021-08-29
497698,1965.431,369811043,Released,7.8,4552,2021-08-29
653349,133.141,0,Released,7.6,79,2021-08-30
645788,187.407,5848920,Released,7.2,63,2021-08-30
347626,253.016,0,Released,6.9,174,2021-08-30
595743,73.08,0,Released,6.3,48,2021-08-30
436969,4471.851,144879000,Released,8.0,3188,2021-08-30
579047,773.71,7291702,Released,7.4,395,2021-08-30
666243,240.222,0,Released,7.7,195,2021-08-30
566525,446.516,0,Released,7.9,6,2021-08-30
592863,94.122,23000000,Released,7.0,24,2021-08-30
385128,2031.374,704238175,Released,7.6,3236,2021-08-30
634649,748.243,0,Post Production,0.0,0,2021-08-30
565028,367.662,27600000,Released,6.1,48,2021-08-30
675445,3421.191,61881280,Released,8.1,276,2021-08-30
619297,2230.064,0,Released,7.0,337,2021-08-30
568620,405.226,36964325,Released,7.2,364,2021-08-30
752505,77.997,0,Released,8.0,98,2021-08-30
559907,163.729,18192220,Released,7.1,233,2021-08-30
497698,2329.063,369811043,Released,7.8,4601,2021-08-30
616651,769.341,15144751,Released,7.2,147,2021-08-30
716594,33.338,0,Released,7.3,10,2021-08-30
653349,186.397,0,Released,7.6,86,2021-08-31
645788,241.255,5848920,Released,7.1,73,2021-08-31
347626,354.222,0,Released,6.9,216,2021-08-31
841755,68.072,0,Released,0.0,0,2021-08-31
595743,102.312,0,Released,6.3,56,2021-08-31
566525,478.865,0,Released,7.9,6,2021-08-31
385128,1637.843,704238175,Released,7.6,3259,2021-08-31
436969,3692.281,144879000,Released,8.0,3219,2021-08-31
579047,583.821,7291702,Released,7.3,405,2021-08-31
666243,174.824,0,Released,7.8,206,2021-08-31
625169,19.065,0,Released,6.5,6,2021-08-31
619297,3122.09,0,Released,7.0,349,2021-08-31
565028,317.515,27600000,Released,6.1,55,2021-08-31
592863,77.907,23000000,Released,6.9,27,2021-08-31
634649,735.266,0,Post Production,0.0,0,2021-08-31
568620,334.004,36964325,Released,7.2,369,2021-08-31
559907,136.028,18192220,Released,7.0,243,2021-08-31
675445,2750.783,61881280,Released,8.1,292,2021-08-31
550988,1583.419,179000000,Released,7.8,485,2021-08-31
497698,1900.35,369811043,Released,7.8,4622,2021-08-31
841755,95.301,0,Released,6.3,5,2021-09-01
645788,290.152,5848920,Released,7.0,80,2021-09-01
653349,260.956,0,Released,7.6,106,2021-09-01
566525,670.411,0,Released,8.0,11,2021-09-01
625169,26.691,3615193,Released,7.4,9,2021-09-01
385128,1334.152,704238175,Released,7.6,3281,2021-09-01
347626,495.911,0,Released,7.0,246,2021-09-01
436969,3152.029,155379000,Released,8.0,3255,2021-09-01
595743,143.237,0,Released,6.3,58,2021-09-01
666243,150.956,0,Released,7.8,217,2021-09-01
565028,278.891,27297750,Released,6.2,62,2021-09-01
579047,476.717,10914000,Released,7.3,423,2021-09-01
497698,1822.837,369811043,Released,7.8,4645,2021-09-01
619297,3007.005,0,Released,7.0,371,2021-09-01
581726,1411.278,0,Released,7.5,907,2021-09-01
451048,2863.974,186992318,Released,7.9,2253,2021-09-01
592863,66.776,23087609,Released,7.0,31,2021-09-01
675445,2371.734,61912621,Released,8.1,300,2021-09-01
550988,1514.958,179218086,Released,7.8,503,2021-09-01
568620,293.909,36964325,Released,7.2,375,2021-09-01
841755,133.421,0,Released,8.0,20,2021-09-02
566525,926.081,0,Released,7.8,65,2021-09-02
385128,1325.124,704238175,Released,7.6,3297,2021-09-02
645788,267.014,5848920,Released,6.9,96,2021-09-02
625169,37.367,3615193,Released,7.8,12,2021-09-02
653349,365.338,0,Released,7.5,120,2021-09-02
436969,2994.676,155379000,Released,8.0,3301,2021-09-02
347626,694.275,0,Released,7.1,275,2021-09-02
785457,38.637,0,Released,9.0,2,2021-09-02
595743,200.532,0,Released,6.2,66,2021-09-02
744275,633.934,0,Released,9.0,49,2021-09-02
565028,246.947,27297750,Released,6.3,70,2021-09-02
497698,1897.505,369811043,Released,7.8,4667,2021-09-02
579047,424.249,10914000,Released,7.3,441,2021-09-02
550988,1639.998,179218086,Released,7.8,516,2021-09-02
666243,142.768,0,Released,7.8,222,2021-09-02
581726,1309.865,0,Released,7.5,920,2021-09-02
451048,2553.418,186992318,Released,7.9,2276,2021-09-02
592863,55.271,23087609,Released,7.0,34,2021-09-02
619297,2491.103,0,Released,6.9,394,2021-09-02
593910,314.538,0,Released,5.8,10,2021-09-03
482373,865.134,35305880,Released,7.3,113,2021-09-03
566525,1296.513,0,Released,7.9,118,2021-09-03
785457,54.092,0,Released,7.2,20,2021-09-03
436969,2889.059,155379000,Released,8.0,3336,2021-09-03
841755,186.789,0,Released,8.0,36,2021-09-03
385128,1265.897,704238175,Released,7.6,3310,2021-09-03
625169,52.314,3615193,Released,7.4,16,2021-09-03
645788,168.604,5848920,Released,6.9,104,2021-09-03
653349,511.473,0,Released,7.5,131,2021-09-03
744275,887.508,0,Released,9.0,74,2021-09-03
497698,1816.8,369811043,Released,7.8,4687,2021-09-03
347626,971.985,0,Released,7.1,300,2021-09-03
595743,280.745,0,Released,6.1,72,2021-09-03
649394,15.775,0,Released,6.0,1,2021-09-03
550988,1450.767,179218086,Released,7.8,529,2021-09-03
451048,2321.571,186992318,Released,7.9,2307,2021-09-03
666243,114.421,0,Released,7.8,230,2021-09-03
565028,220.286,27297750,Released,6.4,76,2021-09-03
579047,362.889,10914000,Released,7.2,451,2021-09-03
593910,440.353,0,Released,6.6,126,2021-09-04
482373,1211.188,35305880,Released,7.4,175,2021-09-04
566525,1815.118,8800000,Released,7.9,197,2021-09-04
436969,2878.154,155379000,Released,8.0,3382,2021-09-04
785457,75.729,0,Released,7.1,51,2021-09-04
649394,22.085,0,Released,6.8,4,2021-09-04
841755,261.505,0,Released,8.3,44,2021-09-04
385128,1200.904,704238175,Released,7.6,3338,2021-09-04
625169,73.24,3615193,Released,7.6,18,2021-09-04
645788,142.115,5848920,Released,6.9,111,2021-09-04
744275,1242.511,0,Released,8.7,109,2021-09-04
653349,716.062,0,Released,7.6,142,2021-09-04
497698,1753.338,369811043,Released,7.8,4712,2021-09-04
675319,47.937,0,Released,6.0,3,2021-09-04
661595,15.273,0,Released,6.0,6,2021-09-04
300669,258.887,159047649,Released,7.0,5462,2021-09-04
550988,1367.248,182630056,Released,7.8,543,2021-09-04
347626,1004.944,0,Released,7.2,322,2021-09-04
579047,321.207,10914000,Released,7.2,461,2021-09-04
595743,393.043,0,Released,6.0,81,2021-09-04
482373,1695.663,35305880,Released,7.6,228,2021-09-05
593910,616.494,0,Released,6.9,214,2021-09-05
566525,2541.165,53000000,Released,8.0,274,2021-09-05
436969,3184.405,155379000,Released,8.0,3432,2021-09-05
785457,106.021,0,Released,7.1,65,2021-09-05
649394,30.919,0,Released,6.6,13,2021-09-05
385128,1387.804,704238175,Released,7.6,3377,2021-09-05
841755,366.107,0,Released,8.4,54,2021-09-05
744275,1739.515,0,Released,8.9,155,2021-09-05
497698,1989.164,369811043,Released,7.8,4735,2021-09-05
625169,102.536,3615193,Released,8.0,23,2021-09-05
300669,362.442,159047649,Released,7.0,5467,2021-09-05
653349,1002.487,0,Released,7.6,150,2021-09-05
645788,125.672,5848920,Released,6.9,116,2021-09-05
675319,67.112,0,Released,5.0,4,2021-09-05
661595,21.382,0,Released,6.0,6,2021-09-05
579047,404.436,10914000,Released,7.2,472,2021-09-05
451048,2503.522,186992318,Released,7.9,2357,2021-09-05
568620,320.415,36964325,Released,7.1,397,2021-09-05
550988,1715.589,182630056,Released,7.8,550,2021-09-05
482373,2373.928,37000009,Released,7.7,284,2021-09-06
593910,863.092,0,Released,6.8,275,2021-09-06
566525,3557.631,139700000,Released,8.0,346,2021-09-06
436969,3473.331,155379000,Released,8.0,3487,2021-09-06
385128,1653.145,704238175,Released,7.5,3415,2021-09-06
785457,148.429,0,Released,7.2,88,2021-09-06
649394,43.287,0,Released,7.1,20,2021-09-06
841755,512.55,0,Released,8.3,64,2021-09-06
744275,1772.505,0,Released,8.7,175,2021-09-06
497698,2310.483,369811043,Released,7.8,4757,2021-09-06
300669,507.419,159047649,Released,7.0,5480,2021-09-06
625169,143.55,3615193,Released,8.0,23,2021-09-06
645788,130.695,5848920,Released,6.9,123,2021-09-06
653349,1403.482,0,Released,7.6,167,2021-09-06
675319,84.829,0,Released,5.9,9,2021-09-06
661595,29.935,0,Released,7.2,12,2021-09-06
550988,2070.861,182630056,Released,7.8,562,2021-09-06
451048,3034.948,186992318,Released,7.9,2385,2021-09-06
568620,320.17,36964325,Released,7.1,401,2021-09-06
579047,429.159,10914000,Released,7.2,492,2021-09-06
482373,3323.499,37000009,Released,7.7,325,2021-09-07
593910,1208.329,0,Released,6.9,333,2021-09-07
566525,3909.563,146200000,Released,8.0,411,2021-09-07
436969,3075.608,155379000,Released,8.0,3529,2021-09-07
385128,1372.77,704238175,Released,7.5,3439,2021-09-07
785457,207.801,0,Released,7.2,102,2021-09-07
649394,60.602,0,Released,7.3,25,2021-09-07
497698,2009.325,369811043,Released,7.8,4793,2021-09-07
744275,1700.339,9200000,Released,8.7,180,2021-09-07
841755,717.57,0,Released,8.3,68,2021-09-07
300669,506.721,159047649,Released,7.0,5490,2021-09-07
645788,106.293,5848920,Released,6.8,131,2021-09-07
653349,1194.578,0,Released,7.5,174,2021-09-07
451048,2490.25,186992318,Released,7.9,2407,2021-09-07
550988,1685.525,182630056,Released,7.8,569,2021-09-07
675319,113.305,0,Released,5.9,11,2021-09-07
